"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","15-24 years","15-24",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","25-34 years","25-34",109,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","35-44 years","35-44",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","45-54 years","45-54",93,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","55-64 years","55-64",64,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Apr., 2017","2017/04","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","15-24 years","15-24",16,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","25-34 years","25-34",84,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","35-44 years","35-44",98,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","45-54 years","45-54",99,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","55-64 years","55-64",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","May, 2017","2017/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","15-24 years","15-24",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","25-34 years","25-34",110,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","35-44 years","35-44",76,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","45-54 years","45-54",72,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","55-64 years","55-64",50,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","65-74 years","65-74",16,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jun., 2017","2017/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","15-24 years","15-24",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","25-34 years","25-34",116,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","35-44 years","35-44",113,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","45-54 years","45-54",85,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","55-64 years","55-64",46,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","65-74 years","65-74",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Jul., 2017","2017/07","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","15-24 years","15-24",29,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","25-34 years","25-34",115,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","35-44 years","35-44",90,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","45-54 years","45-54",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","55-64 years","55-64",64,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","65-74 years","65-74",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Aug., 2017","2017/08","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","15-24 years","15-24",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","25-34 years","25-34",128,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","35-44 years","35-44",105,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","45-54 years","45-54",79,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","55-64 years","55-64",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Sep., 2017","2017/09","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","15-24 years","15-24",17,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","25-34 years","25-34",125,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","35-44 years","35-44",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","45-54 years","45-54",87,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","55-64 years","55-64",69,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","65-74 years","65-74",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Oct., 2017","2017/10","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","15-24 years","15-24",29,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","25-34 years","25-34",100,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","35-44 years","35-44",85,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","45-54 years","45-54",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","55-64 years","55-64",60,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","75-84 years","75-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Nov., 2017","2017/11","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","15-24 years","15-24",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","25-34 years","25-34",119,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","35-44 years","35-44",99,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","45-54 years","45-54",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","55-64 years","55-64",65,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","65-74 years","65-74",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Dec., 2017","2017/12","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","15-24 years","15-24",22,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","25-34 years","25-34",103,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","35-44 years","35-44",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","45-54 years","45-54",77,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","55-64 years","55-64",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","65-74 years","65-74",14,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jan., 2018","2018/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","15-24 years","15-24",15,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","25-34 years","25-34",105,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","35-44 years","35-44",88,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","45-54 years","45-54",87,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","55-64 years","55-64",58,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Feb., 2018","2018/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","15-24 years","15-24",22,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","25-34 years","25-34",120,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","35-44 years","35-44",120,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","45-54 years","45-54",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","55-64 years","55-64",56,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","65-74 years","65-74",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Mar., 2018","2018/03","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","15-24 years","15-24",20,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","25-34 years","25-34",106,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","35-44 years","35-44",110,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","45-54 years","45-54",80,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","55-64 years","55-64",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","65-74 years","65-74",15,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Apr., 2018","2018/04","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","15-24 years","15-24",25,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","25-34 years","25-34",109,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","35-44 years","35-44",89,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","45-54 years","45-54",107,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","55-64 years","55-64",72,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","65-74 years","65-74",17,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","May, 2018","2018/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","15-24 years","15-24",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","25-34 years","25-34",99,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","35-44 years","35-44",102,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","45-54 years","45-54",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","55-64 years","55-64",70,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","65-74 years","65-74",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jun., 2018","2018/06","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jul., 2018","2018/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jul., 2018","2018/07","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jul., 2018","2018/07","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jul., 2018","2018/07","15-24 years","15-24",28,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jul., 2018","2018/07","25-34 years","25-34",126,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2018","2018","Jul., 2018","2018/07","35-44 years","35-44",108,Not Applicable,Not Applicable
