"Notes","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Census Region 1: Northeast","CENS-R1","2014","2014",9077,56152333,16.2,15.8,16.5,0.2,16.1,15.8,16.4,0.2
,"Census Region 1: Northeast","CENS-R1","2015","2015",11096,56283891,19.7,19.3,20.1,0.2,19.8,19.4,20.1,0.2
,"Census Region 1: Northeast","CENS-R1","2016","2016",14804,56209510,26.3,25.9,26.8,0.2,26.6,26.1,27.0,0.2
,"Census Region 1: Northeast","CENS-R1","2017","2017",16579,56470581,29.4,28.9,29.8,0.2,29.8,29.3,30.2,0.2
,"Census Region 1: Northeast","CENS-R1","2018","2018",15589,56111079,27.8,27.3,28.2,0.2,28.1,27.7,28.6,0.2
,"Census Region 1: Northeast","CENS-R1","2019","2019",15441,55982803,27.6,27.1,28.0,0.2,27.9,27.4,28.3,0.2
,"Census Region 1: Northeast","CENS-R1","2020","2020",18122,55849869,32.4,32.0,32.9,0.2,32.9,32.4,33.4,0.3
"Total","Census Region 1: Northeast","CENS-R1",,,182900,1212994922,15.1,15.0,15.1,0.0,15.0,14.9,15.1,0.0
,"Census Region 2: Midwest","CENS-R2","1999","1999",2777,64100061,4.3,4.2,4.5,0.1,4.4,4.2,4.5,0.1
,"Census Region 2: Midwest","CENS-R2","2000","2000",3143,64392776,4.9,4.7,5.1,0.1,4.9,4.7,5.1,0.1
,"Census Region 2: Midwest","CENS-R2","2001","2001",3667,64776531,5.7,5.5,5.8,0.1,5.7,5.5,5.9,0.1
,"Census Region 2: Midwest","CENS-R2","2002","2002",4284,65018293,6.6,6.4,6.8,0.1,6.6,6.4,6.8,0.1
,"Census Region 2: Midwest","CENS-R2","2003","2003",4353,65276954,6.7,6.5,6.9,0.1,6.7,6.5,6.9,0.1
,"Census Region 2: Midwest","CENS-R2","2004","2004",5280,65532305,8.1,7.8,8.3,0.1,8.1,7.9,8.3,0.1
,"Census Region 2: Midwest","CENS-R2","2005","2005",5833,65751872,8.9,8.6,9.1,0.1,8.9,8.7,9.2,0.1
,"Census Region 2: Midwest","CENS-R2","2006","2006",7029,66028555,10.6,10.4,10.9,0.1,10.7,10.5,11.0,0.1
,"Census Region 2: Midwest","CENS-R2","2007","2007",7095,66293689,10.7,10.5,11.0,0.1,10.7,10.5,11.0,0.1
,"Census Region 2: Midwest","CENS-R2","2008","2008",7532,66523935,11.3,11.1,11.6,0.1,11.4,11.1,11.7,0.1
,"Census Region 2: Midwest","CENS-R2","2009","2009",7548,66748437,11.3,11.1,11.6,0.1,11.4,11.1,11.6,0.1
,"Census Region 2: Midwest","CENS-R2","2010","2010",8176,66927001,12.2,12.0,12.5,0.1,12.3,12.0,12.5,0.1
,"Census Region 2: Midwest","CENS-R2","2011","2011",8698,67158835,13.0,12.7,13.2,0.1,13.1,12.8,13.4,0.1
,"Census Region 2: Midwest","CENS-R2","2012","2012",8974,67316297,13.3,13.1,13.6,0.1,13.6,13.3,13.8,0.1
,"Census Region 2: Midwest","CENS-R2","2013","2013",9745,67547890,14.4,14.1,14.7,0.1,14.6,14.3,14.9,0.2
,"Census Region 2: Midwest","CENS-R2","2014","2014",10647,67745108,15.7,15.4,16.0,0.2,16.0,15.7,16.4,0.2
,"Census Region 2: Midwest","CENS-R2","2015","2015",11785,67907403,17.4,17.0,17.7,0.2,17.8,17.5,18.1,0.2
,"Census Region 2: Midwest","CENS-R2","2016","2016",14623,67941429,21.5,21.2,21.9,0.2,22.3,21.9,22.6,0.2
,"Census Region 2: Midwest","CENS-R2","2017","2017",16679,68179351,24.5,24.1,24.8,0.2,25.4,25.0,25.7,0.2
,"Census Region 2: Midwest","CENS-R2","2018","2018",15144,68308744,22.2,21.8,22.5,0.2,22.9,22.6,23.3,0.2
,"Census Region 2: Midwest","CENS-R2","2019","2019",15785,68329004,23.1,22.7,23.5,0.2,23.8,23.4,24.2,0.2
,"Census Region 2: Midwest","CENS-R2","2020","2020",19622,68316744,28.7,28.3,29.1,0.2,29.9,29.5,30.4,0.2
"Total","Census Region 2: Midwest","CENS-R2",,,198419,1466121214,13.5,13.5,13.6,0.0,13.7,13.7,13.8,0.0
,"Census Region 3: South","CENS-R3","1999","1999",5324,99164460,5.4,5.2,5.5,0.1,5.4,5.2,5.5,0.1
,"Census Region 3: South","CENS-R3","2000","2000",6145,100236820,6.1,6.0,6.3,0.1,6.1,6.0,6.3,0.1
,"Census Region 3: South","CENS-R3","2001","2001",7699,101849575,7.6,7.4,7.7,0.1,7.6,7.4,7.7,0.1
,"Census Region 3: South","CENS-R3","2002","2002",8650,103150787,8.4,8.2,8.6,0.1,8.4,8.2,8.6,0.1
,"Census Region 3: South","CENS-R3","2003","2003",9977,104380188,9.6,9.4,9.7,0.1,9.6,9.4,9.8,0.1
,"Census Region 3: South","CENS-R3","2004","2004",10711,105883977,10.1,9.9,10.3,0.1,10.2,10.0,10.4,0.1
,"Census Region 3: South","CENS-R3","2005","2005",11455,107479771,10.7,10.5,10.9,0.1,10.7,10.5,10.9,0.1
,"Census Region 3: South","CENS-R3","2006","2006",13150,109076933,12.1,11.8,12.3,0.1,12.1,11.9,12.3,0.1
,"Census Region 3: South","CENS-R3","2007","2007",13857,110688742,12.5,12.3,12.7,0.1,12.5,12.3,12.7,0.1
,"Census Region 3: South","CENS-R3","2008","2008",13945,112184930,12.4,12.2,12.6,0.1,12.4,12.2,12.6,0.1
,"Census Region 3: South","CENS-R3","2009","2009",14505,113548615,12.8,12.6,13.0,0.1,12.7,12.5,13.0,0.1
,"Census Region 3: South","CENS-R3","2010","2010",14854,114555744,13.0,12.8,13.2,0.1,13.0,12.8,13.2,0.1
,"Census Region 3: South","CENS-R3","2011","2011",15494,116046736,13.4,13.1,13.6,0.1,13.4,13.2,13.6,0.1
,"Census Region 3: South","CENS-R3","2012","2012",15116,117257221,12.9,12.7,13.1,0.1,12.9,12.7,13.1,0.1
,"Census Region 3: South","CENS-R3","2013","2013",15519,118383453,13.1,12.9,13.3,0.1,13.1,12.9,13.3,0.1
,"Census Region 3: South","CENS-R3","2014","2014",16777,119771934,14.0,13.8,14.2,0.1,14.0,13.8,14.2,0.1
,"Census Region 3: South","CENS-R3","2015","2015",18613,121182847,15.4,15.1,15.6,0.1,15.5,15.3,15.7,0.1
,"Census Region 3: South","CENS-R3","2016","2016",23039,122319574,18.8,18.6,19.1,0.1,19.0,18.8,19.3,0.1
,"Census Region 3: South","CENS-R3","2017","2017",25272,123658624,20.4,20.2,20.7,0.1,20.7,20.4,20.9,0.1
,"Census Region 3: South","CENS-R3","2018","2018",24297,124753948,19.5,19.2,19.7,0.1,19.7,19.4,20.0,0.1
,"Census Region 3: South","CENS-R3","2019","2019",25668,125580448,20.4,20.2,20.7,0.1,20.7,20.5,21.0,0.1
,"Census Region 3: South","CENS-R3","2020","2020",35349,126662754,27.9,27.6,28.2,0.1,28.6,28.2,28.9,0.2
"Total","Census Region 3: South","CENS-R3",,,345416,2497818081,13.8,13.8,13.9,0.0,13.9,13.8,13.9,0.0
,"Census Region 4: West","CENS-R4","1999","1999",5236,62431872,8.4,8.2,8.6,0.1,8.5,8.2,8.7,0.1
,"Census Region 4: West","CENS-R4","2000","2000",4571,63197932,7.2,7.0,7.4,0.1,7.3,7.1,7.5,0.1
,"Census Region 4: West","CENS-R4","2001","2001",3972,64427327,6.2,6.0,6.4,0.1,6.2,6.0,6.4,0.1
,"Census Region 4: West","CENS-R4","2002","2002",6296,65312198,9.6,9.4,9.9,0.1,9.7,9.5,10.0,0.1
,"Census Region 4: West","CENS-R4","2003","2003",6788,66116338,10.3,10.0,10.5,0.1,10.3,10.1,10.6,0.1
,"Census Region 4: West","CENS-R4","2004","2004",7046,66965483,10.5,10.3,10.8,0.1,10.5,10.3,10.8,0.1
,"Census Region 4: West","CENS-R4","2005","2005",7556,67833726,11.1,10.9,11.4,0.1,11.1,10.9,11.4,0.1
,"Census Region 4: West","CENS-R4","2006","2006",8146,68751765,11.8,11.6,12.1,0.1,11.7,11.5,12.0,0.1
,"Census Region 4: West","CENS-R4","2007","2007",8989,69595414,12.9,12.6,13.2,0.1,12.8,12.5,13.0,0.1
,"Census Region 4: West","CENS-R4","2008","2008",9012,70509175,12.8,12.5,13.0,0.1,12.6,12.3,12.9,0.1
,"Census Region 4: West","CENS-R4","2009","2009",9421,71341376,13.2,12.9,13.5,0.1,13.0,12.7,13.3,0.1
,"Census Region 4: West","CENS-R4","2010","2010",9332,71945553,13.0,12.7,13.2,0.1,12.7,12.5,13.0,0.1
,"Census Region 4: West","CENS-R4","2011","2011",10001,72864748,13.7,13.5,14.0,0.1,13.5,13.2,13.7,0.1
,"Census Region 4: West","CENS-R4","2012","2012",9832,73579431,13.4,13.1,13.6,0.1,13.1,12.8,13.4,0.1
,"Census Region 4: West","CENS-R4","2013","2013",10315,74254423,13.9,13.6,14.2,0.1,13.6,13.3,13.8,0.1
,"Census Region 4: West","CENS-R4","2014","2014",10554,75187681,14.0,13.8,14.3,0.1,13.7,13.4,13.9,0.1
,"Census Region 4: West","CENS-R4","2015","2015",10910,76044679,14.3,14.1,14.6,0.1,13.9,13.7,14.2,0.1
,"Census Region 4: West","CENS-R4","2016","2016",11166,76657000,14.6,14.3,14.8,0.1,14.1,13.8,14.4,0.1
,"Census Region 4: West","CENS-R4","2017","2017",11707,77410622,15.1,14.8,15.4,0.1,14.7,14.4,14.9,0.1
,"Census Region 4: West","CENS-R4","2018","2018",12337,77993663,15.8,15.5,16.1,0.1,15.3,15.1,15.6,0.1
,"Census Region 4: West","CENS-R4","2019","2019",13736,78347268,17.5,17.2,17.8,0.1,17.0,16.8,17.3,0.1
,"Census Region 4: West","CENS-R4","2020","2020",18706,78654756,23.8,23.4,24.1,0.2,23.4,23.0,23.7,0.2
"Total","Census Region 4: West","CENS-R4",,,205629,1569422430,13.1,13.0,13.2,0.0,13.0,12.9,13.0,0.0
"Total",,,,,932364,6746356647,13.8,13.8,13.8,0.0,13.8,13.8,13.8,0.0
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Census-Region-Year-Drug-Overdose"
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X62"
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X63"
"(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system); X64 (Intentional"
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X85 (Assault by drugs,"
"medicaments and biological substances); Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics,"
"undetermined intent); Y11 (Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic"
"drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning by and exposure to other drugs acting on the"
"autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances, undetermined intent)"
"Group By: Census Region; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Nov 9, 2025 12:56:08 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Nov 9, 2025 12:56:08 AM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"6. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"7. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"8. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals."
"9. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Standard-Errors."
"10. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"11. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"12. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
