Notes,Census Region,Census Region Code,Sex,Sex Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,source_file,year_start,year_end
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2006,2006,"Jan., 2006",2006/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2006,2006,"Apr., 2006",2006/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2007,2007,"Jan., 2007",2007/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2007,2007,"Feb., 2007",2007/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2007,2007,"Nov., 2007",2007/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2008,2008,"Jan., 2008",2008/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2008,2008,"Mar., 2008",2008/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2009,2009,"Jan., 2009",2009/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2009,2009,"Apr., 2009",2009/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2009,2009,"May, 2009",2009/05,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2009,2009,"Jul., 2009",2009/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2009,2009,"Oct., 2009",2009/10,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2010,2010,"Apr., 2010",2010/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,1-4 years,1-4,2010,2010,"Nov., 2010",2010/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,1999,1999,"Jan., 1999",1999/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2000,2000,"Feb., 2000",2000/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2000,2000,"Aug., 2000",2000/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2000,2000,"Oct., 2000",2000/10,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2001,2001,"Dec., 2001",2001/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2002,2002,"Jan., 2002",2002/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2002,2002,"Aug., 2002",2002/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2002,2002,"Nov., 2002",2002/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2003,2003,"Feb., 2003",2003/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2003,2003,"Oct., 2003",2003/10,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2004,2004,"Mar., 2004",2004/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2004,2004,"Jun., 2004",2004/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2004,2004,"Jul., 2004",2004/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2004,2004,"Aug., 2004",2004/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2004,2004,"Sep., 2004",2004/09,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2004,2004,"Oct., 2004",2004/10,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2005,2005,"Jan., 2005",2005/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2005,2005,"Dec., 2005",2005/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2006,2006,"Feb., 2006",2006/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2006,2006,"Jun., 2006",2006/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2006,2006,"Dec., 2006",2006/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2007,2007,"May, 2007",2007/05,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2007,2007,"Jun., 2007",2007/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2007,2007,"Aug., 2007",2007/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2008,2008,"Mar., 2008",2008/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2008,2008,"May, 2008",2008/05,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2008,2008,"Jun., 2008",2008/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2008,2008,"Oct., 2008",2008/10,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,5-14 years,5-14,2009,2009,"Jun., 2009",2009/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Jan., 1999",1999/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Feb., 1999",1999/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Mar., 1999",1999/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Apr., 1999",1999/04,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"May, 1999",1999/05,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Jun., 1999",1999/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Jul., 1999",1999/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Aug., 1999",1999/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Sep., 1999",1999/09,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Oct., 1999",1999/10,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Nov., 1999",1999/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,1999,1999,"Dec., 1999",1999/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Jan., 2000",2000/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Feb., 2000",2000/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Mar., 2000",2000/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Apr., 2000",2000/04,10,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"May, 2000",2000/05,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Jun., 2000",2000/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Jul., 2000",2000/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Aug., 2000",2000/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Sep., 2000",2000/09,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Oct., 2000",2000/10,10,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Nov., 2000",2000/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2000,2000,"Dec., 2000",2000/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Jan., 2001",2001/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Feb., 2001",2001/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Mar., 2001",2001/03,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Apr., 2001",2001/04,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"May, 2001",2001/05,12,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Jun., 2001",2001/06,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Jul., 2001",2001/07,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Aug., 2001",2001/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Sep., 2001",2001/09,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Oct., 2001",2001/10,13,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Nov., 2001",2001/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2001,2001,"Dec., 2001",2001/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Jan., 2002",2002/01,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Feb., 2002",2002/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Mar., 2002",2002/03,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Apr., 2002",2002/04,18,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"May, 2002",2002/05,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Jun., 2002",2002/06,10,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Jul., 2002",2002/07,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Aug., 2002",2002/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Sep., 2002",2002/09,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Oct., 2002",2002/10,14,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Nov., 2002",2002/11,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2002,2002,"Dec., 2002",2002/12,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Jan., 2003",2003/01,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Feb., 2003",2003/02,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Mar., 2003",2003/03,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Apr., 2003",2003/04,15,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"May, 2003",2003/05,11,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Jun., 2003",2003/06,19,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Jul., 2003",2003/07,10,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
"",Census Region 1: Northeast,CENS-R1,Female,F,15-24 years,15-24,2003,2003,"Aug., 2003",2003/08,Suppressed,Not Applicable,Not Applicable,WONDER-SEX-10Yr-Cenus Region-1999-2010.xls,1999,2010
