Census Region Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Region,Age Groups
CENS-R2,2008/10,F,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
CENS-R2,2008/11,F,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
CENS-R2,2009/05,F,1,Suppressed,2009,Census Region 2: Midwest,< 1 year
CENS-R2,2009/09,F,1,Suppressed,2009,Census Region 2: Midwest,< 1 year
CENS-R2,2009/10,F,1,Suppressed,2009,Census Region 2: Midwest,< 1 year
CENS-R2,2010/06,F,1,Suppressed,2010,Census Region 2: Midwest,< 1 year
CENS-R2,2010/08,F,1,Suppressed,2010,Census Region 2: Midwest,< 1 year
CENS-R2,1999/04,F,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,1999/05,F,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,1999/08,F,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,1999/12,F,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,2000/01,F,1-4,Suppressed,2000,Census Region 2: Midwest,1-4 years
CENS-R2,2000/08,F,1-4,Suppressed,2000,Census Region 2: Midwest,1-4 years
CENS-R2,2001/09,F,1-4,Suppressed,2001,Census Region 2: Midwest,1-4 years
CENS-R2,2002/03,F,1-4,Suppressed,2002,Census Region 2: Midwest,1-4 years
CENS-R2,2002/09,F,1-4,Suppressed,2002,Census Region 2: Midwest,1-4 years
CENS-R2,2002/10,F,1-4,Suppressed,2002,Census Region 2: Midwest,1-4 years
CENS-R2,2003/03,F,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2003/04,F,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2003/05,F,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2003/07,F,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2004/10,F,1-4,Suppressed,2004,Census Region 2: Midwest,1-4 years
CENS-R2,2005/05,F,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2005/09,F,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2006/03,F,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2006/04,F,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2006/11,F,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2006/12,F,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2007/05,F,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2007/08,F,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2007/11,F,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2008/01,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/02,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/04,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/05,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/06,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/10,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/12,F,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2009/02,F,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/03,F,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/05,F,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/09,F,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/10,F,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2010/03,F,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/04,F,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/06,F,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/10,F,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/11,F,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/12,F,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2006/12,F,NS,Suppressed,2006,Census Region 2: Midwest,Not Stated
CENS-R2,1999/06,M,1,Suppressed,1999,Census Region 2: Midwest,< 1 year
CENS-R2,1999/08,M,1,Suppressed,1999,Census Region 2: Midwest,< 1 year
CENS-R2,1999/10,M,1,Suppressed,1999,Census Region 2: Midwest,< 1 year
CENS-R2,1999/11,M,1,Suppressed,1999,Census Region 2: Midwest,< 1 year
CENS-R2,1999/12,M,1,Suppressed,1999,Census Region 2: Midwest,< 1 year
CENS-R2,2000/01,M,1,Suppressed,2000,Census Region 2: Midwest,< 1 year
CENS-R2,2001/02,M,1,Suppressed,2001,Census Region 2: Midwest,< 1 year
CENS-R2,2001/03,M,1,Suppressed,2001,Census Region 2: Midwest,< 1 year
CENS-R2,2001/11,M,1,Suppressed,2001,Census Region 2: Midwest,< 1 year
CENS-R2,2002/03,M,1,Suppressed,2002,Census Region 2: Midwest,< 1 year
CENS-R2,2002/08,M,1,Suppressed,2002,Census Region 2: Midwest,< 1 year
CENS-R2,2003/03,M,1,Suppressed,2003,Census Region 2: Midwest,< 1 year
CENS-R2,2003/05,M,1,Suppressed,2003,Census Region 2: Midwest,< 1 year
CENS-R2,2003/11,M,1,Suppressed,2003,Census Region 2: Midwest,< 1 year
CENS-R2,2004/02,M,1,Suppressed,2004,Census Region 2: Midwest,< 1 year
CENS-R2,2004/09,M,1,Suppressed,2004,Census Region 2: Midwest,< 1 year
CENS-R2,2004/12,M,1,Suppressed,2004,Census Region 2: Midwest,< 1 year
CENS-R2,2005/04,M,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2005/06,M,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2005/10,M,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2005/11,M,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2005/12,M,1,Suppressed,2005,Census Region 2: Midwest,< 1 year
CENS-R2,2006/01,M,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2006/04,M,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2006/11,M,1,Suppressed,2006,Census Region 2: Midwest,< 1 year
CENS-R2,2007/01,M,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2007/08,M,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2007/09,M,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2007/10,M,1,Suppressed,2007,Census Region 2: Midwest,< 1 year
CENS-R2,2008/06,M,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
CENS-R2,2008/08,M,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
CENS-R2,2008/09,M,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
CENS-R2,2008/11,M,1,Suppressed,2008,Census Region 2: Midwest,< 1 year
CENS-R2,2009/11,M,1,Suppressed,2009,Census Region 2: Midwest,< 1 year
CENS-R2,2009/12,M,1,Suppressed,2009,Census Region 2: Midwest,< 1 year
CENS-R2,2010/08,M,1,Suppressed,2010,Census Region 2: Midwest,< 1 year
CENS-R2,2010/10,M,1,Suppressed,2010,Census Region 2: Midwest,< 1 year
CENS-R2,2010/11,M,1,Suppressed,2010,Census Region 2: Midwest,< 1 year
CENS-R2,1999/02,M,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,1999/06,M,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,1999/11,M,1-4,Suppressed,1999,Census Region 2: Midwest,1-4 years
CENS-R2,2000/05,M,1-4,Suppressed,2000,Census Region 2: Midwest,1-4 years
CENS-R2,2000/07,M,1-4,Suppressed,2000,Census Region 2: Midwest,1-4 years
CENS-R2,2000/08,M,1-4,Suppressed,2000,Census Region 2: Midwest,1-4 years
CENS-R2,2001/06,M,1-4,Suppressed,2001,Census Region 2: Midwest,1-4 years
CENS-R2,2001/09,M,1-4,Suppressed,2001,Census Region 2: Midwest,1-4 years
CENS-R2,2001/10,M,1-4,Suppressed,2001,Census Region 2: Midwest,1-4 years
CENS-R2,2002/12,M,1-4,Suppressed,2002,Census Region 2: Midwest,1-4 years
CENS-R2,2003/01,M,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2003/05,M,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2003/07,M,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2003/11,M,1-4,Suppressed,2003,Census Region 2: Midwest,1-4 years
CENS-R2,2004/01,M,1-4,Suppressed,2004,Census Region 2: Midwest,1-4 years
CENS-R2,2004/04,M,1-4,Suppressed,2004,Census Region 2: Midwest,1-4 years
CENS-R2,2005/01,M,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2005/02,M,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2005/03,M,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2005/07,M,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2005/08,M,1-4,Suppressed,2005,Census Region 2: Midwest,1-4 years
CENS-R2,2006/02,M,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2006/03,M,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2006/04,M,1-4,Suppressed,2006,Census Region 2: Midwest,1-4 years
CENS-R2,2007/01,M,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2007/04,M,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2007/06,M,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2007/10,M,1-4,Suppressed,2007,Census Region 2: Midwest,1-4 years
CENS-R2,2008/01,M,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/02,M,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/03,M,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/05,M,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2008/11,M,1-4,Suppressed,2008,Census Region 2: Midwest,1-4 years
CENS-R2,2009/01,M,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/02,M,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/06,M,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/07,M,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2009/11,M,1-4,Suppressed,2009,Census Region 2: Midwest,1-4 years
CENS-R2,2010/01,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/03,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/04,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/05,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/06,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/07,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2010/09,M,1-4,Suppressed,2010,Census Region 2: Midwest,1-4 years
CENS-R2,2005/01,M,NS,Suppressed,2005,Census Region 2: Midwest,Not Stated
CENS-R2,2009/07,M,NS,Suppressed,2009,Census Region 2: Midwest,Not Stated
CENS-R2,2010/04,M,NS,Suppressed,2010,Census Region 2: Midwest,Not Stated
CENS-R3,1999/01,F,1,Suppressed,1999,Census Region 3: South,< 1 year
CENS-R3,1999/03,F,1,Suppressed,1999,Census Region 3: South,< 1 year
CENS-R3,1999/04,F,1,Suppressed,1999,Census Region 3: South,< 1 year
CENS-R3,1999/06,F,1,Suppressed,1999,Census Region 3: South,< 1 year
CENS-R3,2000/07,F,1,Suppressed,2000,Census Region 3: South,< 1 year
CENS-R3,2001/04,F,1,Suppressed,2001,Census Region 3: South,< 1 year
CENS-R3,2001/06,F,1,Suppressed,2001,Census Region 3: South,< 1 year
CENS-R3,2001/07,F,1,Suppressed,2001,Census Region 3: South,< 1 year
CENS-R3,2001/12,F,1,Suppressed,2001,Census Region 3: South,< 1 year
CENS-R3,2002/05,F,1,Suppressed,2002,Census Region 3: South,< 1 year
CENS-R3,2002/09,F,1,Suppressed,2002,Census Region 3: South,< 1 year
CENS-R3,2002/11,F,1,Suppressed,2002,Census Region 3: South,< 1 year
CENS-R3,2003/01,F,1,Suppressed,2003,Census Region 3: South,< 1 year
CENS-R3,2003/06,F,1,Suppressed,2003,Census Region 3: South,< 1 year
CENS-R3,2003/11,F,1,Suppressed,2003,Census Region 3: South,< 1 year
CENS-R3,2003/12,F,1,Suppressed,2003,Census Region 3: South,< 1 year
CENS-R3,2004/01,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/02,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/03,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/04,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/05,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/07,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/08,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/09,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2004/10,F,1,Suppressed,2004,Census Region 3: South,< 1 year
CENS-R3,2005/03,F,1,Suppressed,2005,Census Region 3: South,< 1 year
CENS-R3,2005/05,F,1,Suppressed,2005,Census Region 3: South,< 1 year
CENS-R3,2005/07,F,1,Suppressed,2005,Census Region 3: South,< 1 year
CENS-R3,2005/09,F,1,Suppressed,2005,Census Region 3: South,< 1 year
CENS-R3,2005/10,F,1,Suppressed,2005,Census Region 3: South,< 1 year
CENS-R3,2006/01,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/02,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/03,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/04,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/05,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/06,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/08,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2006/09,F,1,Suppressed,2006,Census Region 3: South,< 1 year
CENS-R3,2007/01,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2007/02,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2007/04,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2007/05,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2007/07,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2007/08,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2007/09,F,1,Suppressed,2007,Census Region 3: South,< 1 year
CENS-R3,2008/02,F,1,Suppressed,2008,Census Region 3: South,< 1 year
CENS-R3,2008/04,F,1,Suppressed,2008,Census Region 3: South,< 1 year
CENS-R3,2008/05,F,1,Suppressed,2008,Census Region 3: South,< 1 year
CENS-R3,2008/07,F,1,Suppressed,2008,Census Region 3: South,< 1 year
CENS-R3,2008/10,F,1,Suppressed,2008,Census Region 3: South,< 1 year
CENS-R3,2008/12,F,1,Suppressed,2008,Census Region 3: South,< 1 year
CENS-R3,2009/02,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2009/03,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2009/04,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2009/06,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2009/07,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2009/09,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2009/10,F,1,Suppressed,2009,Census Region 3: South,< 1 year
CENS-R3,2010/06,F,1,Suppressed,2010,Census Region 3: South,< 1 year
CENS-R3,2010/08,F,1,Suppressed,2010,Census Region 3: South,< 1 year
CENS-R3,2010/09,F,1,Suppressed,2010,Census Region 3: South,< 1 year
CENS-R3,2010/10,F,1,Suppressed,2010,Census Region 3: South,< 1 year
CENS-R3,2010/11,F,1,Suppressed,2010,Census Region 3: South,< 1 year
CENS-R3,1999/04,F,1-4,Suppressed,1999,Census Region 3: South,1-4 years
CENS-R3,1999/08,F,1-4,Suppressed,1999,Census Region 3: South,1-4 years
CENS-R3,1999/10,F,1-4,Suppressed,1999,Census Region 3: South,1-4 years
CENS-R3,1999/11,F,1-4,Suppressed,1999,Census Region 3: South,1-4 years
CENS-R3,1999/12,F,1-4,Suppressed,1999,Census Region 3: South,1-4 years
CENS-R3,2000/09,F,1-4,Suppressed,2000,Census Region 3: South,1-4 years
CENS-R3,2001/02,F,1-4,Suppressed,2001,Census Region 3: South,1-4 years
CENS-R3,2001/05,F,1-4,Suppressed,2001,Census Region 3: South,1-4 years
