"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Census Region","Census Region Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","1","Census Region 4: West","CENS-R4","2005","2005",Suppressed,990708,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2006","2006",Suppressed,1001399,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2007","2007",Suppressed,1025498,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2008","2008",Suppressed,1023387,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2009","2009",Suppressed,981958,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2010","2010",Suppressed,970771,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2011","2011",Suppressed,981961,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2012","2012",Suppressed,980963,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2013","2013",Suppressed,969811,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2014","2014",Suppressed,974444,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2015","2015",Suppressed,977107,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2016","2016",Suppressed,977907,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2017","2017",Suppressed,963527,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2018","2018",0,941687,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Census Region 4: West","CENS-R4","2019","2019",Suppressed,914882,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Census Region 4: West","CENS-R4","2020","2020",Suppressed,890744,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","1999","1999",0,2746790,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2000","2000",Suppressed,2733528,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2001","2001",Suppressed,2682298,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2002","2002",Suppressed,2676518,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2003","2003",Suppressed,2666495,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2004","2004",Suppressed,2659989,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2005","2005",0,2646108,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2006","2006",Suppressed,2608958,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2007","2007",Suppressed,2587781,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2008","2008",Suppressed,2587166,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2009","2009",Suppressed,2588662,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2010","2010",Suppressed,2593344,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2011","2011",Suppressed,2565501,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2012","2012",Suppressed,2560386,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2013","2013",Suppressed,2555625,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2014","2014",Suppressed,2564232,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2015","2015",Suppressed,2562107,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2016","2016",Suppressed,2527828,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2017","2017",Suppressed,2529197,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2018","2018",Suppressed,2507350,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2019","2019",Suppressed,2485708,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 1: Northeast","CENS-R1","2020","2020",10,2454624,Unreliable,0.2,0.7,0.1
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","1999","1999",Suppressed,3490491,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2000","2000",Suppressed,3493562,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2001","2001",Suppressed,3461669,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2002","2002",Suppressed,3480604,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2003","2003",Suppressed,3478712,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2004","2004",Suppressed,3479970,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2005","2005",Suppressed,3487344,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2006","2006",Suppressed,3462560,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2007","2007",Suppressed,3466390,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2008","2008",11,3483223,Unreliable,0.2,0.6,0.1
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2009","2009",Suppressed,3486465,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2010","2010",Suppressed,3492963,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2011","2011",Suppressed,3442995,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2012","2012",Suppressed,3404975,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2013","2013",Suppressed,3360909,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2014","2014",Suppressed,3346135,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2015","2015",Suppressed,3339660,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2016","2016",10,3346140,Unreliable,0.1,0.5,0.1
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2017","2017",Suppressed,3353354,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2018","2018",Suppressed,3344522,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2019","2019",11,3310681,Unreliable,0.2,0.6,0.1
,"1-4 years","1-4","Census Region 2: Midwest","CENS-R2","2020","2020",11,3263278,Unreliable,0.2,0.6,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","1999","1999",Suppressed,5424174,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2000","2000",Suppressed,5468537,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2001","2001",Suppressed,5492637,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2002","2002",10,5623521,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2003","2003",Suppressed,5727308,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2004","2004",Suppressed,5827918,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2005","2005",Suppressed,5924436,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2006","2006",10,5947396,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2007","2007",17,6006684,Unreliable,0.2,0.5,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2008","2008",18,6095324,Unreliable,0.2,0.5,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2009","2009",12,6159713,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2010","2010",14,6171268,Unreliable,0.1,0.4,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2011","2011",18,6169619,Unreliable,0.2,0.5,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2012","2012",Suppressed,6133345,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2013","2013",11,6100457,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2014","2014",18,6109985,Unreliable,0.2,0.5,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2015","2015",24,6128859,0.4,0.3,0.6,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2016","2016",16,6176562,Unreliable,0.1,0.4,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2017","2017",Suppressed,6210645,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2018","2018",10,6222026,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2019","2019",20,6179182,0.3,0.2,0.5,0.1
,"1-4 years","1-4","Census Region 3: South","CENS-R3","2020","2020",22,6121947,0.4,0.2,0.5,0.1
,"1-4 years","1-4","Census Region 4: West","CENS-R4","1999","1999",Suppressed,3678327,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2000","2000",Suppressed,3674523,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2001","2001",Suppressed,3648955,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2002","2002",Suppressed,3697088,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2003","2003",Suppressed,3744060,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2004","2004",Suppressed,3803750,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2005","2005",Suppressed,3855119,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2006","2006",Suppressed,3878231,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2007","2007",Suppressed,3917110,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2008","2008",Suppressed,3972679,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2009","2009",Suppressed,4006091,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2010","2010",Suppressed,3999634,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2011","2011",Suppressed,3987406,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2012","2012",Suppressed,3957561,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2013","2013",Suppressed,3909314,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2014","2014",Suppressed,3908181,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2015","2015",Suppressed,3898617,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2016","2016",10,3906362,Unreliable,0.1,0.5,0.1
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2017","2017",Suppressed,3906369,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2018","2018",Suppressed,3888169,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2019","2019",Suppressed,3818060,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Census Region 4: West","CENS-R4","2020","2020",15,3726433,Unreliable,0.2,0.7,0.1
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","1999","1999",0,3776715,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2000","2000",0,3743901,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2001","2001",0,3653201,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2002","2002",0,3577557,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2003","2003",0,3499826,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2004","2004",0,3430058,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2005","2005",Suppressed,3367347,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2006","2006",0,3337181,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2007","2007",0,3318021,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2008","2008",Suppressed,3321912,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2009","2009",Suppressed,3336261,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2010","2010",Suppressed,3337564,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2011","2011",Suppressed,3308112,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2012","2012",Suppressed,3306364,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2013","2013",0,3286990,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2014","2014",Suppressed,3251100,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2015","2015",Suppressed,3230114,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2016","2016",Suppressed,3223233,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2017","2017",0,3199849,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2018","2018",0,3167591,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2019","2019",Suppressed,3161549,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 1: Northeast","CENS-R1","2020","2020",0,3155810,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","1999","1999",0,4706954,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2000","2000",Suppressed,4688024,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2001","2001",Suppressed,4591871,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2002","2002",Suppressed,4511973,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2003","2003",Suppressed,4451829,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2004","2004",0,4407363,Unreliable,0.0,0.0,0.0
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2005","2005",Suppressed,4380273,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2006","2006",Suppressed,4387943,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2007","2007",Suppressed,4398036,Suppressed,Suppressed,Suppressed,Suppressed
,"5-9 years","5-9","Census Region 2: Midwest","CENS-R2","2008","2008",Suppressed,4408250,Suppressed,Suppressed,Suppressed,Suppressed
