Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,Female,F,100,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,Male,M,218,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,Female,F,119,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jan., 2000",2000/01,Male,M,246,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,Female,F,95,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Feb., 2000",2000/02,Male,M,245,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,Female,F,114,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Mar., 2000",2000/03,Male,M,247,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,Female,F,100,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Apr., 2000",2000/04,Male,M,232,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,Female,F,108,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"May, 2000",2000/05,Male,M,260,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,Female,F,99,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jun., 2000",2000/06,Male,M,238,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jul., 2000",2000/07,Female,F,90,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Jul., 2000",2000/07,Male,M,218,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Aug., 2000",2000/08,Female,F,88,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Aug., 2000",2000/08,Male,M,197,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Sep., 2000",2000/09,Female,F,79,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Sep., 2000",2000/09,Male,M,199,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Oct., 2000",2000/10,Female,F,98,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Oct., 2000",2000/10,Male,M,178,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Nov., 2000",2000/11,Female,F,92,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Nov., 2000",2000/11,Male,M,210,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Dec., 2000",2000/12,Female,F,86,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2000,2000,"Dec., 2000",2000/12,Male,M,246,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Jan., 2001",2001/01,Female,F,104,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Jan., 2001",2001/01,Male,M,255,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Feb., 2001",2001/02,Female,F,94,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Feb., 2001",2001/02,Male,M,200,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Mar., 2001",2001/03,Female,F,93,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Mar., 2001",2001/03,Male,M,250,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Apr., 2001",2001/04,Female,F,129,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Apr., 2001",2001/04,Male,M,278,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"May, 2001",2001/05,Female,F,115,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"May, 2001",2001/05,Male,M,251,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Jun., 2001",2001/06,Female,F,107,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Jun., 2001",2001/06,Male,M,308,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Jul., 2001",2001/07,Female,F,134,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Jul., 2001",2001/07,Male,M,315,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Aug., 2001",2001/08,Female,F,109,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Aug., 2001",2001/08,Male,M,309,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Sep., 2001",2001/09,Female,F,111,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Sep., 2001",2001/09,Male,M,225,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Oct., 2001",2001/10,Female,F,106,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Oct., 2001",2001/10,Male,M,224,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Nov., 2001",2001/11,Female,F,102,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Nov., 2001",2001/11,Male,M,236,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Dec., 2001",2001/12,Female,F,103,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2001,2001,"Dec., 2001",2001/12,Male,M,293,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Jan., 2002",2002/01,Female,F,115,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Jan., 2002",2002/01,Male,M,254,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Feb., 2002",2002/02,Female,F,110,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Feb., 2002",2002/02,Male,M,237,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Mar., 2002",2002/03,Female,F,123,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Mar., 2002",2002/03,Male,M,320,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Apr., 2002",2002/04,Female,F,146,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Apr., 2002",2002/04,Male,M,308,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"May, 2002",2002/05,Female,F,139,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"May, 2002",2002/05,Male,M,307,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Jun., 2002",2002/06,Female,F,112,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Jun., 2002",2002/06,Male,M,231,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Jul., 2002",2002/07,Female,F,99,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Jul., 2002",2002/07,Male,M,248,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Aug., 2002",2002/08,Female,F,118,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Aug., 2002",2002/08,Male,M,237,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Sep., 2002",2002/09,Female,F,127,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Sep., 2002",2002/09,Male,M,241,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Oct., 2002",2002/10,Female,F,124,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Oct., 2002",2002/10,Male,M,237,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Nov., 2002",2002/11,Female,F,119,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Nov., 2002",2002/11,Male,M,286,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Dec., 2002",2002/12,Female,F,112,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2002,2002,"Dec., 2002",2002/12,Male,M,236,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Jan., 2003",2003/01,Female,F,151,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Jan., 2003",2003/01,Male,M,326,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Feb., 2003",2003/02,Female,F,131,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Feb., 2003",2003/02,Male,M,303,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Mar., 2003",2003/03,Female,F,140,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Mar., 2003",2003/03,Male,M,307,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Apr., 2003",2003/04,Female,F,119,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Apr., 2003",2003/04,Male,M,279,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"May, 2003",2003/05,Female,F,146,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"May, 2003",2003/05,Male,M,324,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Jun., 2003",2003/06,Female,F,140,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Jun., 2003",2003/06,Male,M,295,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Jul., 2003",2003/07,Female,F,120,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Jul., 2003",2003/07,Male,M,275,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Aug., 2003",2003/08,Female,F,113,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Aug., 2003",2003/08,Male,M,273,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Sep., 2003",2003/09,Female,F,126,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Sep., 2003",2003/09,Male,M,275,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Oct., 2003",2003/10,Female,F,129,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Oct., 2003",2003/10,Male,M,258,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Nov., 2003",2003/11,Female,F,121,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Nov., 2003",2003/11,Male,M,274,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Dec., 2003",2003/12,Female,F,118,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Dec., 2003",2003/12,Male,M,282,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jan., 2004",2004/01,Female,F,146,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jan., 2004",2004/01,Male,M,311,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Feb., 2004",2004/02,Female,F,140,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Feb., 2004",2004/02,Male,M,267,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Mar., 2004",2004/03,Female,F,125,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Mar., 2004",2004/03,Male,M,252,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Apr., 2004",2004/04,Female,F,118,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Apr., 2004",2004/04,Male,M,240,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"May, 2004",2004/05,Female,F,126,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"May, 2004",2004/05,Male,M,281,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jun., 2004",2004/06,Female,F,119,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jun., 2004",2004/06,Male,M,258,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jul., 2004",2004/07,Female,F,113,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jul., 2004",2004/07,Male,M,244,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Aug., 2004",2004/08,Female,F,134,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Aug., 2004",2004/08,Male,M,285,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Sep., 2004",2004/09,Female,F,133,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Sep., 2004",2004/09,Male,M,271,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Oct., 2004",2004/10,Female,F,132,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Oct., 2004",2004/10,Male,M,266,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Nov., 2004",2004/11,Female,F,124,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Nov., 2004",2004/11,Male,M,241,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Dec., 2004",2004/12,Female,F,125,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Dec., 2004",2004/12,Male,M,257,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jan., 2005",2005/01,Female,F,143,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jan., 2005",2005/01,Male,M,298,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Feb., 2005",2005/02,Female,F,141,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Feb., 2005",2005/02,Male,M,278,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Mar., 2005",2005/03,Female,F,156,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Mar., 2005",2005/03,Male,M,286,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Apr., 2005",2005/04,Female,F,132,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Apr., 2005",2005/04,Male,M,310,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"May, 2005",2005/05,Female,F,157,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"May, 2005",2005/05,Male,M,303,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jun., 2005",2005/06,Female,F,145,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jun., 2005",2005/06,Male,M,307,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jul., 2005",2005/07,Female,F,146,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jul., 2005",2005/07,Male,M,320,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Aug., 2005",2005/08,Female,F,144,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Aug., 2005",2005/08,Male,M,290,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Sep., 2005",2005/09,Female,F,132,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Sep., 2005",2005/09,Male,M,291,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Oct., 2005",2005/10,Female,F,148,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Oct., 2005",2005/10,Male,M,292,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Nov., 2005",2005/11,Female,F,148,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Nov., 2005",2005/11,Male,M,293,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Dec., 2005",2005/12,Female,F,134,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Dec., 2005",2005/12,Male,M,314,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jan., 2006",2006/01,Female,F,148,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jan., 2006",2006/01,Male,M,333,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Feb., 2006",2006/02,Female,F,161,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Feb., 2006",2006/02,Male,M,310,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Mar., 2006",2006/03,Female,F,155,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Mar., 2006",2006/03,Male,M,376,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Apr., 2006",2006/04,Female,F,187,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Apr., 2006",2006/04,Male,M,369,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"May, 2006",2006/05,Female,F,171,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"May, 2006",2006/05,Male,M,388,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jun., 2006",2006/06,Female,F,178,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jun., 2006",2006/06,Male,M,404,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jul., 2006",2006/07,Female,F,195,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jul., 2006",2006/07,Male,M,421,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Aug., 2006",2006/08,Female,F,166,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Aug., 2006",2006/08,Male,M,408,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Sep., 2006",2006/09,Female,F,172,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Sep., 2006",2006/09,Male,M,391,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Oct., 2006",2006/10,Female,F,162,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Oct., 2006",2006/10,Male,M,364,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Nov., 2006",2006/11,Female,F,150,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Nov., 2006",2006/11,Male,M,345,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Dec., 2006",2006/12,Female,F,138,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Dec., 2006",2006/12,Male,M,328,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jan., 2007",2007/01,Female,F,180,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jan., 2007",2007/01,Male,M,341,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Feb., 2007",2007/02,Female,F,170,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Feb., 2007",2007/02,Male,M,333,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Mar., 2007",2007/03,Female,F,195,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Mar., 2007",2007/03,Male,M,378,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Apr., 2007",2007/04,Female,F,211,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Apr., 2007",2007/04,Male,M,376,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"May, 2007",2007/05,Female,F,184,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"May, 2007",2007/05,Male,M,383,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jun., 2007",2007/06,Female,F,183,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jun., 2007",2007/06,Male,M,354,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jul., 2007",2007/07,Female,F,175,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jul., 2007",2007/07,Male,M,378,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Aug., 2007",2007/08,Female,F,189,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Aug., 2007",2007/08,Male,M,365,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Sep., 2007",2007/09,Female,F,160,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Sep., 2007",2007/09,Male,M,329,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Oct., 2007",2007/10,Female,F,170,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Oct., 2007",2007/10,Male,M,320,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Nov., 2007",2007/11,Female,F,171,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Nov., 2007",2007/11,Male,M,331,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Dec., 2007",2007/12,Female,F,165,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Dec., 2007",2007/12,Male,M,320,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jan., 2008",2008/01,Female,F,177,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jan., 2008",2008/01,Male,M,318,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Feb., 2008",2008/02,Female,F,191,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Feb., 2008",2008/02,Male,M,365,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Mar., 2008",2008/03,Female,F,180,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Mar., 2008",2008/03,Male,M,370,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Apr., 2008",2008/04,Female,F,204,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Apr., 2008",2008/04,Male,M,330,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"May, 2008",2008/05,Female,F,187,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"May, 2008",2008/05,Male,M,407,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jun., 2008",2008/06,Female,F,162,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jun., 2008",2008/06,Male,M,351,Not Applicable,Not Applicable
